3|-73|1535757336294|1535760936294|-2006232
-28|-205|1535757510310|1535761110310|-16343273
37|-300|1535757538438|1535761138438|-15331191
-496|-239|1535757958798|1535761558798|-4379462
9|-106|1535757351838|1535760951838|-10118588
12|-59|1535757361366|1535760961366|-7661740
-267|-435|1535757857942|1535761457942|-15244661
-484|-299|1535758027670|1535761627670|-4070794
-582|-398|1535758059046|1535761659046|-10663558
21|-203|1535757488734|1535761088734|-16210672
-515|-253|1535757974150|1535761574150|-2658117
14|-158|1535758546759|1535762146759|-12430938
-391|-212|1535757925286|1535761525286|-3460080
-402|-171|1535758340455|1535761940455|-3665951
-225|-420|1535757875118|1535761475118|-12439522
-583|-409|1535758114494|1535761714494|-4802514
-539|-434|1535758127518|1535761727518|-684876
-99|-400|1535757767982|1535761367982|-4498636
-17|-427|1535757567927|1535761167927|-11817589
